289,,,,,289,,,,,289,,,,289,,,,,,,289,,"ไม่สนใจส่วนใหญ่ โควตาหมดไว เลยไม่ค่อยได้ใช้ระบบ หรือออกจาก สปสช. AIติดภาษาถิ่น"""
รายชื่อลูกค้า,,,,,ติดตามสถานะ PresScribe AI,,,,,ติดตามสถานะ iService,,,,สถานะโทรเชิญชวน,,,,,,,สถานะโทรเชิญชวน MED AI,,
ลำดับ,รหัสหน่วยบริการ,ชื่อลูกค้า,  จังหวัด,BD,สถานะ Provider ID,สถานะการใช้งานระบบ AI,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะ BD,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะโทรติดตาม,รหัสหน่วยบริการ,ai,service, ,หมายเหตุ,Service ที่มี,MED AI,วันที่ติดต่อล่าสุด,feedback
1,CA0001914,คลินิกเวชกรรมแพทย์หญิงบุษยมาศ,นครศรีธรรมราช,อริสรา ส่วนบุญ,-,,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0001914,ไม่สนใจ AI,ไม่สนใจ iService,26/1/2026,"09/1/2026 คุณหมอติดคนไข้ แจ้งว่าติดต่ออีกทีเวลา 20.00 น.
23/1/2026 นำเสนอระบบ ยังไม่สนใจในตอนนี้",,0.ยังไม่ได้ติดต่อ,,
2,CA0001344,คลินิกเฉพาะทางด้านเวชกรรมสาขาอายุรศาสตร์ แพทย์ธนาวิชญ์,แพร่,ศิรภัสสร ฐิตะจิราพงษ์,-,-,,,,3. ลูกค้าทดลองใช้,16/2/2026,,,สนใจ iService,CA0001344,ไม่สนใจ AI,สนใจ iService,26/1/2026,"09/1/2026 คูณหมอตรวจคนไข้อยู่ (มี iservice)
26/1/2026 เคยใช้ iService แล้วได้มีการฟีดแบคไปยังเจ้าของเคสเรียบร้อย ตัวระบบ PresScribe AI ยังไม่สนใจ",มี iservice,0.ยังไม่ได้ติดต่อ,,
3,CA0001032,สุกิจคลินิกเวชกรรม สาขาจุน,พะเยา,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,CA0001032,รอพิจารณา,รอพิจารณา,09/1/2026,พี่หนึ่งติดต่อแล้ว,,0.ยังไม่ได้ติดต่อ,,
4,49519,คลินิกเวชกรรมหมอวาริช,ลำพูน,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,49519,ติดต่อใหม่,ติดต่อใหม่,20/2/2026,"09/1/2026 คุณหมอแจ้งว่า กำลังเปิดคลินิกค้าบ
23/01/26 หมอติดตรวจอยู่
26/1/2026 ไม่รับสาย
09/02/2026 โทรไม่ติด
17/02/26 ไม่รับสาย
20/02/26 ไม่รับสาย 17.23 น.",,0.ยังไม่ได้ติดต่อ,,
5,CA0001493,แพทย์ไฟซอล คลินิกเวชกรรม,ยะลา,ศิรภัสสร ฐิตะจิราพงษ์,2.4 ทางคลินิกกด Activate,อยู่ระหว่างสมัคร Provider ID,25/02/2026,"คุณหมอกรอกข้อมูลสำหรับสมัคร Provider id นามคลินิกเรียบร้อยรอดำเนินการต่อ
16/02/26 ทีมเทคนิคเซ็ต Licen AI แล้ว รอสมัคร Provider และรอนัดหมายเทรนนิ่งใช้งาน

25/02/26 ให้ลูกคาแเพิ่มข้อมูลและส่งกลับให้พี่น้ำฝนใหม่เลเ้ว ",,-,,,,สนใจ AI,CA0001493,สนใจ AI,ไม่สนใจ iService,09/1/2026,สนใจทดลองใช้ ให้อีฟส่งรายละเอียดให้ทางไลน์,,0.ยังไม่ได้ติดต่อ,,
6,CA0001271,หมอเอม คลินิกเวชกรรม,ตาก,อริสรา ส่วนบุญ,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0001271,ไม่สนใจ AI,ไม่สนใจ iService,09/1/2026,ยังไม่สนใจใช้งาน เนื่องจากเป็นคลินิกเล็กเปิดแค่ช่วงเย็น คนไข้แค่ 3-4 คน,,0.ยังไม่ได้ติดต่อ,,
7,CA0001389,คลินิกเวชกรรมแพทย์หญิงปภาวรินท์,ศรีสะเกษ,ณิชกุล เจริญสุข,-,-,,,,-,,,,ติดต่อใหม่,CA0001389,ติดต่อใหม่,ติดต่อใหม่,25/2/2026,"09/1/2026 โทรไม่ติด / โทรติดตามใหม่ไม่ติด
26/1/2026 เข้าสู่ระบบฝากข้อความ
09/02/2026 เข้าสู่ระบบฝากข้อความ
17/02/2026 เข้าสู่ระบบฝากข้อความ
18/02/2026 เข้าสู่ระบบฝากข้อความ
20/02/26 เข้าสู่ระบบฝากข้อความ
24/02/26 เข้าสู่ระบบฝากข้อความ
25/02/26 เข้าสู่ระบบฝากข้อความ",,0.ยังไม่ได้ติดต่อ,,
8,CA0001809,คลินิกเวชกรรมแพทย์หญิงจิตราวรรณ,สตูล,ธวัชชัย รุ่งเสถียรภูธร,-,-,,,,-,,,,รอพิจารณา,CA0001809,รอพิจารณา,รอพิจารณา,09/1/2026,แจ้งรายละเอียดคร่าวๆแล้ว แจ้งว่าหากสนใจให้ติดต่อพี่บูมได้เลย,,0.ยังไม่ได้ติดต่อ,,
9,CA0001364,คลินิกเวชกรรมแพทย์ปวิชญา,ศรีสะเกษ,ณิชกุล เจริญสุข,1.1 ส่งให้ลูกค้ากรอก,อยู่ระหว่างสมัคร Provider ID,09/02/2026,รอหมอกรอกข้อมูล Provider ID,,-,,,,สนใจ AI,CA0001364,สนใจ AI,ไม่สนใจ iService,09/2/2026,"09/1/2026 หมอแจ้งว่า พอดีเปิดคลินิกค่ะ
26/1/2026  โทรไปแล้วไม่พูด
09/02/2026 เข้าสู่ระบบฝากข้อความ / โทรกลับมาสนใจ AI",,0.ยังไม่ได้ติดต่อ,,
10,55095,คลินิกเวชกรรมนายแพทย์กฤษพงษ์(กาบเชิง),สุรินทร์,อริสรา ส่วนบุญ,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,55095,ไม่สนใจ AI,ไม่สนใจ iService,26/1/2026,"09/1/2026 หมอติดคนไข้ โทรช่วงเที่ยงๆก็ได้น้า
23/1/2026 หมอเเจ้งว่า ผมหวัดดีปีใหม่ผู้ใหญ่อยู่เดี๋ยวโทรกลับน้า
26/1/2026 คนไข้น้อยลงมากช่วงนี้ เพราะด้วยนโยบายของ สปสช. คนไข้ชำระเงินสดก็ไม่ค่อยมี เลยยังไม่จำเป็นต้องระบบอื่นเพิ่มเติม",,0.ยังไม่ได้ติดต่อ,,
